ID,Species,Population,Region,State,Replicate,Strat Length,Strat Temp,Strat Treat,Inc Temp,TreatID,Total Germ,Viable,Dead,Total Viable,VAG,bio1,bio2,bio4,bio8,bio12,bio15,bio18
HEMU1-2(2),Heliomeris_multiflora,AZ,Flagstaff,AZ,2,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",4,20,1,24,0.17,104,162,7145,194,556,37,150
HEMU1-3(2),Heliomeris_multiflora,AZ,Flagstaff,AZ,3,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",2,20,3,22,0.09,104,162,7145,194,556,37,150
HEMU1-4(2),Heliomeris_multiflora,AZ,Flagstaff,AZ,4,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",2,17,6,19,0.11,104,162,7145,194,556,37,150
HEMU1-5(2),Heliomeris_multiflora,AZ,Flagstaff,AZ,1,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",9,5,11,14,0.64,104,162,7145,194,556,37,150
HEMU1-6(2),Heliomeris_multiflora,AZ,Flagstaff,AZ,2,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",11,5,9,16,0.69,104,162,7145,194,556,37,150
HEMU1-7(2),Heliomeris_multiflora,AZ,Flagstaff,AZ,3,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",7,4,14,11,0.64,104,162,7145,194,556,37,150
HEMU1-8(2),Heliomeris_multiflora,AZ,Flagstaff,AZ,4,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",13,8,4,21,0.62,104,162,7145,194,556,37,150
HEMU2-1(2),Heliomeris_multiflora,CO,Ouray,CO,1,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",22,2,1,24,0.92,19,170,8499,120,422,28,141
HEMU2-2(2),Heliomeris_multiflora,CO,Ouray,CO,2,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",20,2,3,22,0.91,19,170,8499,120,422,28,141
HEMU2-3(2),Heliomeris_multiflora,CO,Ouray,CO,3,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",14,9,2,23,0.61,19,170,8499,120,422,28,141
HEMU2-4(2),Heliomeris_multiflora,CO,Ouray,CO,4,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",19,6,0,25,0.76,19,170,8499,120,422,28,141
HEMU2-5(2),Heliomeris_multiflora,CO,Ouray,CO,1,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",17,3,7,20,0.85,19,170,8499,120,422,28,141
HEMU2-6(2),Heliomeris_multiflora,CO,Ouray,CO,2,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",15,10,0,25,0.6,19,170,8499,120,422,28,141
HEMU2-7(2),Heliomeris_multiflora,CO,Ouray,CO,3,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",18,3,6,21,0.86,19,170,8499,120,422,28,141
HEMU2-8(2),Heliomeris_multiflora,CO,Ouray,CO,4,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",17,7,3,24,0.71,19,170,8499,120,422,28,141
HEMU3-1(2),Heliomeris_multiflora,NM,Organ,NM,1,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",18,4,3,22,0.82,124,162,6927,204,363,72,175
HEMU3-2(2),Heliomeris_multiflora,NM,Organ,NM,2,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",23,0,2,23,1,124,162,6927,204,363,72,175
HEMU3-3(2),Heliomeris_multiflora,NM,Organ,NM,3,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",18,3,4,21,0.86,124,162,6927,204,363,72,175
HEMU3-4(2),Heliomeris_multiflora,NM,Organ,NM,4,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",19,5,1,24,0.79,124,162,6927,204,363,72,175
HEMU3-5(2),Heliomeris_multiflora,NM,Organ,NM,1,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",19,2,4,21,0.9,124,162,6927,204,363,72,175
HEMU3-6(2),Heliomeris_multiflora,NM,Organ,NM,2,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",22,1,2,23,0.96,124,162,6927,204,363,72,175
HEMU3-7(2),Heliomeris_multiflora,NM,Organ,NM,3,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",21,3,2,24,0.88,124,162,6927,204,363,72,175
HEMU3-8(2),Heliomeris_multiflora,NM,Organ,NM,4,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",19,1,5,20,0.95,124,162,6927,204,363,72,175
HEMU1-1(3),Heliomeris_multiflora,AZ,Flagstaff,AZ,1,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",5,12,8,17,0.29,104,162,7145,194,556,37,150
HEMU1-2(3),Heliomeris_multiflora,AZ,Flagstaff,AZ,2,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",4,17,4,21,0.19,104,162,7145,194,556,37,150
HEMU1-3(3),Heliomeris_multiflora,AZ,Flagstaff,AZ,3,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",4,15,6,19,0.21,104,162,7145,194,556,37,150
HEMU1-4(3),Heliomeris_multiflora,AZ,Flagstaff,AZ,4,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",4,17,4,21,0.19,104,162,7145,194,556,37,150
HEMU1-5(3),Heliomeris_multiflora,AZ,Flagstaff,AZ,1,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",17,6,2,23,0.74,104,162,7145,194,556,37,150
HEMU1-6(3),Heliomeris_multiflora,AZ,Flagstaff,AZ,2,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",7,8,10,15,0.47,104,162,7145,194,556,37,150
HEMU1-7(3),Heliomeris_multiflora,AZ,Flagstaff,AZ,3,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",9,8,7,17,0.53,104,162,7145,194,556,37,150
HEMU1-8(3),Heliomeris_multiflora,AZ,Flagstaff,AZ,4,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",10,4,11,14,0.71,104,162,7145,194,556,37,150
HEMU2-1(3),Heliomeris_multiflora,CO,Ouray,CO,1,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",0,21,4,21,0,19,170,8499,120,422,28,141
HEMU2-2(3),Heliomeris_multiflora,CO,Ouray,CO,2,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",0,23,2,23,0,19,170,8499,120,422,28,141
HEMU2-3(3),Heliomeris_multiflora,CO,Ouray,CO,3,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",0,21,4,21,0,19,170,8499,120,422,28,141
HEMU2-4(3),Heliomeris_multiflora,CO,Ouray,CO,4,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",2,21,2,23,0.09,19,170,8499,120,422,28,141
HEMU2-5(3),Heliomeris_multiflora,CO,Ouray,CO,1,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",1,22,2,23,0.04,19,170,8499,120,422,28,141
HEMU2-6(3),Heliomeris_multiflora,CO,Ouray,CO,2,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",1,21,3,22,0.05,19,170,8499,120,422,28,141
HEMU2-7(3),Heliomeris_multiflora,CO,Ouray,CO,3,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",0,21,4,21,0,19,170,8499,120,422,28,141
HEMU2-8(3),Heliomeris_multiflora,CO,Ouray,CO,4,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",0,24,1,24,0,19,170,8499,120,422,28,141
HEMU3-1(3),Heliomeris_multiflora,NM,Organ,NM,1,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",23,2,0,25,0.92,124,162,6927,204,363,72,175
HEMU3-2(3),Heliomeris_multiflora,NM,Organ,NM,2,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",17,4,4,21,0.81,124,162,6927,204,363,72,175
HEMU3-3(3),Heliomeris_multiflora,NM,Organ,NM,3,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",18,3,4,21,0.86,124,162,6927,204,363,72,175
HEMU3-4(3),Heliomeris_multiflora,NM,Organ,NM,4,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",22,3,0,25,0.88,124,162,6927,204,363,72,175
HEMU3-5(3),Heliomeris_multiflora,NM,Organ,NM,1,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",22,2,1,24,0.92,124,162,6927,204,363,72,175
HEMU3-6(3),Heliomeris_multiflora,NM,Organ,NM,2,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",22,0,4,22,1,124,162,6927,204,363,72,175
HEMU3-7(3),Heliomeris_multiflora,NM,Organ,NM,3,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",19,2,4,21,0.9,124,162,6927,204,363,72,175
HEMU3-8(3),Heliomeris_multiflora,NM,Organ,NM,4,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",19,0,6,19,1,124,162,6927,204,363,72,175
HEMU1-1(4),Heliomeris_multiflora,AZ,Flagstaff,AZ,1,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",1,24,0,25,0.04,104,162,7145,194,556,37,150
HEMU1-2(4),Heliomeris_multiflora,AZ,Flagstaff,AZ,2,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",3,20,2,23,0.13,104,162,7145,194,556,37,150
HEMU1-3(4),Heliomeris_multiflora,AZ,Flagstaff,AZ,3,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",1,21,3,22,0.05,104,162,7145,194,556,37,150
HEMU1-4(4),Heliomeris_multiflora,AZ,Flagstaff,AZ,4,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",4,16,5,20,0.2,104,162,7145,194,556,37,150
HEMU1-5(4),Heliomeris_multiflora,AZ,Flagstaff,AZ,1,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",4,15,6,19,0.21,104,162,7145,194,556,37,150
HEMU1-6(4),Heliomeris_multiflora,AZ,Flagstaff,AZ,2,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",13,4,8,17,0.76,104,162,7145,194,556,37,150
HEMU1-7(4),Heliomeris_multiflora,AZ,Flagstaff,AZ,3,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",9,11,5,20,0.45,104,162,7145,194,556,37,150
HEMU1-8(4),Heliomeris_multiflora,AZ,Flagstaff,AZ,4,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",4,12,9,16,0.25,104,162,7145,194,556,37,150
HEMU2-1(4),Heliomeris_multiflora,CO,Ouray,CO,1,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",5,20,0,25,0.2,19,170,8499,120,422,28,141
HEMU2-2(4),Heliomeris_multiflora,CO,Ouray,CO,2,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",5,18,2,23,0.22,19,170,8499,120,422,28,141
HEMU2-3(4),Heliomeris_multiflora,CO,Ouray,CO,3,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",8,17,0,25,0.32,19,170,8499,120,422,28,141
HEMU2-4(4),Heliomeris_multiflora,CO,Ouray,CO,4,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",6,19,0,25,0.24,19,170,8499,120,422,28,141
HEMU2-5(4),Heliomeris_multiflora,CO,Ouray,CO,1,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",4,21,0,25,0.16,19,170,8499,120,422,28,141
HEMU2-6(4),Heliomeris_multiflora,CO,Ouray,CO,2,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",4,20,1,24,0.17,19,170,8499,120,422,28,141
HEMU2-7(4),Heliomeris_multiflora,CO,Ouray,CO,3,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",3,18,4,21,0.14,19,170,8499,120,422,28,141
HEMU2-8(4),Heliomeris_multiflora,CO,Ouray,CO,4,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",4,20,1,24,0.17,19,170,8499,120,422,28,141
HEMU3-1(4),Heliomeris_multiflora,NM,Organ,NM,1,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",22,3,0,25,0.88,124,162,6927,204,363,72,175
HEMU3-2(4),Heliomeris_multiflora,NM,Organ,NM,2,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",22,2,1,24,0.92,124,162,6927,204,363,72,175
HEMU3-3(4),Heliomeris_multiflora,NM,Organ,NM,3,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",21,2,2,23,0.91,124,162,6927,204,363,72,175
HEMU3-4(4),Heliomeris_multiflora,NM,Organ,NM,4,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",20,1,4,21,0.95,124,162,6927,204,363,72,175
HEMU3-5(4),Heliomeris_multiflora,NM,Organ,NM,1,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",24,0,1,24,1,124,162,6927,204,363,72,175
HEMU3-6(4),Heliomeris_multiflora,NM,Organ,NM,2,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",22,1,2,23,0.96,124,162,6927,204,363,72,175
HEMU3-7(4),Heliomeris_multiflora,NM,Organ,NM,3,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",22,0,3,22,1,124,162,6927,204,363,72,175
HEMU3-8(4),Heliomeris_multiflora,NM,Organ,NM,4,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",24,0,1,24,1,124,162,6927,204,363,72,175
PAMU1-1(1),Packera_multilobata,UT,Arch Rock,UT,1,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",23,0,2,23,1,101,152,9225,169,266,23,69
PAMU1-2(1),Packera_multilobata,UT,Arch Rock,UT,2,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",25,0,0,25,1,101,152,9225,169,266,23,69
PAMU1-3(1),Packera_multilobata,UT,Arch Rock,UT,3,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",25,0,0,25,1,101,152,9225,169,266,23,69
PAMU1-4(1),Packera_multilobata,UT,Arch Rock,UT,4,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",24,0,1,24,1,101,152,9225,169,266,23,69
PAMU1-5(1),Packera_multilobata,UT,Arch Rock,UT,1,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",25,0,0,25,1,101,152,9225,169,266,23,69
PAMU1-6(1),Packera_multilobata,UT,Arch Rock,UT,2,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",24,0,1,24,1,101,152,9225,169,266,23,69
PAMU1-7(1),Packera_multilobata,UT,Arch Rock,UT,3,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",22,0,3,22,1,101,152,9225,169,266,23,69
PAMU1-8(1),Packera_multilobata,UT,Arch Rock,UT,4,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",25,0,0,25,1,101,152,9225,169,266,23,69
PAMU2-1(1),Packera_multilobata,AZ,Griffiths,AZ,1,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",22,0,3,22,1,82,165,7153,173,564,37,158
PAMU2-2(1),Packera_multilobata,AZ,Griffiths,AZ,2,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",24,0,1,24,1,82,165,7153,173,564,37,158
PAMU2-3(1),Packera_multilobata,AZ,Griffiths,AZ,3,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",22,2,1,24,0.92,82,165,7153,173,564,37,158
PAMU2-4(1),Packera_multilobata,AZ,Griffiths,AZ,4,8,3,"8wks, 3C",20/10,"8w (3C), 20/10C",24,1,0,25,0.96,82,165,7153,173,564,37,158
PAMU2-5(1),Packera_multilobata,AZ,Griffiths,AZ,1,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",24,0,1,24,1,82,165,7153,173,564,37,158
PAMU2-6(1),Packera_multilobata,AZ,Griffiths,AZ,2,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",22,0,3,22,1,82,165,7153,173,564,37,158
PAMU2-7(1),Packera_multilobata,AZ,Griffiths,AZ,3,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",25,0,0,25,1,82,165,7153,173,564,37,158
PAMU2-8(1),Packera_multilobata,AZ,Griffiths,AZ,4,8,3,"8wks, 3C",25/15,"8w (3C), 25/15C",22,0,4,22,1,82,165,7153,173,564,37,158
PAMU1-1(2),Packera_multilobata,UT,Arch Rock,UT,1,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",20,0,5,20,1,101,152,9225,169,266,23,69
PAMU1-2(2),Packera_multilobata,UT,Arch Rock,UT,2,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",23,0,2,23,1,101,152,9225,169,266,23,69
PAMU1-3(2),Packera_multilobata,UT,Arch Rock,UT,3,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",25,0,0,25,1,101,152,9225,169,266,23,69
PAMU1-4(2),Packera_multilobata,UT,Arch Rock,UT,4,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",23,0,2,23,1,101,152,9225,169,266,23,69
PAMU1-5(2),Packera_multilobata,UT,Arch Rock,UT,1,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",22,0,3,22,1,101,152,9225,169,266,23,69
PAMU1-6(2),Packera_multilobata,UT,Arch Rock,UT,2,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",21,0,4,21,1,101,152,9225,169,266,23,69
PAMU1-7(2),Packera_multilobata,UT,Arch Rock,UT,3,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",23,0,2,23,1,101,152,9225,169,266,23,69
PAMU1-8(2),Packera_multilobata,UT,Arch Rock,UT,4,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",24,0,1,24,1,101,152,9225,169,266,23,69
PAMU2-1(2),Packera_multilobata,AZ,Griffiths,AZ,1,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",23,0,2,23,1,82,165,7153,173,564,37,158
PAMU2-2(2),Packera_multilobata,AZ,Griffiths,AZ,2,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",20,4,1,24,0.83,82,165,7153,173,564,37,158
PAMU2-3(2),Packera_multilobata,AZ,Griffiths,AZ,3,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",22,0,3,22,1,82,165,7153,173,564,37,158
PAMU2-4(2),Packera_multilobata,AZ,Griffiths,AZ,4,3,3,"3wks, 3C",20/10,"3w (3C), 20/10C",20,1,4,21,0.95,82,165,7153,173,564,37,158
PAMU2-5(2),Packera_multilobata,AZ,Griffiths,AZ,1,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",19,0,6,19,1,82,165,7153,173,564,37,158
PAMU2-6(2),Packera_multilobata,AZ,Griffiths,AZ,2,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",21,0,4,21,1,82,165,7153,173,564,37,158
PAMU2-7(2),Packera_multilobata,AZ,Griffiths,AZ,3,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",23,0,2,23,1,82,165,7153,173,564,37,158
PAMU2-8(2),Packera_multilobata,AZ,Griffiths,AZ,4,3,3,"3wks, 3C",25/15,"3w (3C), 25/15C",22,0,4,22,1,82,165,7153,173,564,37,158
PAMU1-1(3),Packera_multilobata,UT,Arch Rock,UT,1,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",24,1,0,25,0.96,101,152,9225,169,266,23,69
PAMU1-2(3),Packera_multilobata,UT,Arch Rock,UT,2,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",23,0,2,23,1,101,152,9225,169,266,23,69
PAMU1-3(3),Packera_multilobata,UT,Arch Rock,UT,3,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",20,0,4,20,1,101,152,9225,169,266,23,69
PAMU1-4(3),Packera_multilobata,UT,Arch Rock,UT,4,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",23,1,1,24,0.96,101,152,9225,169,266,23,69
PAMU1-5(3),Packera_multilobata,UT,Arch Rock,UT,1,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",22,0,3,22,1,101,152,9225,169,266,23,69
PAMU1-6(3),Packera_multilobata,UT,Arch Rock,UT,2,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",19,0,6,19,1,101,152,9225,169,266,23,69
PAMU1-7(3),Packera_multilobata,UT,Arch Rock,UT,3,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",22,0,3,22,1,101,152,9225,169,266,23,69
PAMU1-8(3),Packera_multilobata,UT,Arch Rock,UT,4,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",21,0,4,21,1,101,152,9225,169,266,23,69
PAMU2-1(3),Packera_multilobata,AZ,Griffiths,AZ,1,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",20,0,5,20,1,82,165,7153,173,564,37,158
PAMU2-2(3),Packera_multilobata,AZ,Griffiths,AZ,2,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",18,1,6,19,0.95,82,165,7153,173,564,37,158
PAMU2-3(3),Packera_multilobata,AZ,Griffiths,AZ,3,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",21,0,4,21,1,82,165,7153,173,564,37,158
PAMU2-4(3),Packera_multilobata,AZ,Griffiths,AZ,4,3,30,"3wks, 30C",20/10,"3w (30C), 20/10C",19,2,4,21,0.9,82,165,7153,173,564,37,158
PAMU2-5(3),Packera_multilobata,AZ,Griffiths,AZ,1,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",18,1,6,19,0.95,82,165,7153,173,564,37,158
PAMU2-6(3),Packera_multilobata,AZ,Griffiths,AZ,2,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",23,0,2,23,1,82,165,7153,173,564,37,158
PAMU2-7(3),Packera_multilobata,AZ,Griffiths,AZ,3,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",23,1,1,24,0.96,82,165,7153,173,564,37,158
PAMU2-8(3),Packera_multilobata,AZ,Griffiths,AZ,4,3,30,"3wks, 30C",25/15,"3w (30C), 25/15C",18,6,1,24,0.75,82,165,7153,173,564,37,158
PAMU1-1(4),Packera_multilobata,UT,Arch Rock,UT,1,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",25,0,0,25,1,101,152,9225,169,266,23,69
PAMU1-2(4),Packera_multilobata,UT,Arch Rock,UT,2,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",23,0,2,23,1,101,152,9225,169,266,23,69
PAMU1-3(4),Packera_multilobata,UT,Arch Rock,UT,3,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",21,3,2,24,0.88,101,152,9225,169,266,23,69
PAMU1-4(4),Packera_multilobata,UT,Arch Rock,UT,4,0,NS,"0wks, NS",20/10,"0w (NS), 20/10C",24,0,1,24,1,101,152,9225,169,266,23,69
PAMU1-5(4),Packera_multilobata,UT,Arch Rock,UT,1,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",20,1,4,21,0.95,101,152,9225,169,266,23,69
PAMU1-6(4),Packera_multilobata,UT,Arch Rock,UT,2,0,NS,"0wks, NS",25/15,"0w (NS), 25/15C",25,0,0,25,1,101,152,9225,169,266,23,69
